user,text,latitude,longitude
rbentuk,b'arieledenanders donsopedro @RASTICKZ buchimusic @XenCenturion l.e.a.official @AliceNoble_ @kdefofficial and more li? https://t.co/1BUnRGmnRI',51.4757216,-0.0324715
denabagi,"b'Big memories of this event. Thanks for representing it so beautifully and thoughtfully, @Najia_Bagi. #Repost\n???\nTo? https://t.co/ybGmaxz5ho'",51.47438093,-0.03646502
denabagi,"b'Proud of my big sister today, showcasing  #dialogues today. Part of her @goldsmithsuol MA show. Such a thoughtful a? https://t.co/ZdTsfLgCtm'",51.47438093,-0.03646502
ArtofEmaan,"b""Earth rising over the surface of the moon. This painting is based on photography from NASA's Apollo 8 mission that? https://t.co/56pDlbe8qI""",51.48251,-0.03215
DeptfordDoesArt,"b'Thanks to everyone who made it to last night?s launch of ?DOUBLE JAB DOES ART?, a comic book launch and exhibition? https://t.co/9OEG7oytP1'",51.4756351,-0.0257613
deano_coldham,"b'WOW - what an incredible night at @newcrossinn tonight! Not long got in the door, thanks to everyone who turned up? https://t.co/KtuYHVZLit'",51.47579741,-0.03713696
ArtofEmaan,b'Designed in SketchUp and 3D Printed sterling silver. This necklace contains delicate spirals suspended within the w? https://t.co/YaDn3Zu8Dn',51.48251,-0.03215
winandruby,b'deptfordpride this Saturday and we?re donating 10% of every transaction over ?10 to Pride! Come and spread some lov? https://t.co/hDpYg8p1pk',51.47813,-0.02608
winandruby,"b'It?s a day to work on websites and do paperwork for sure?? we?re open until 5pm, I?ll be in @dirtyapronuk as my WiF? https://t.co/030Uiy3qVF'",51.47813,-0.02608
AlyaElouissi,"b""Just in my element, can't help myself???\n#music #love #passion [LINK IN BIO] #singer #songwriter #artist #lovemyjob? https://t.co/HPtO1iUFDx""",51.4757216,-0.0324715
Littlenansbar,"b""Sunset in Deptford is magical times! It's Deptford Pride this Saturday! Who's proud to be from Deptford?! We are!!!? https://t.co/7Dl899XIb4""",51.47708009,-0.02582304
xtaldave,"b'I done a thing... ?\nWell, the awesomely talented @DonTattooist did. \n#tattoo #veggie #skull #broccoli? https://t.co/D27GsM0Whd'",51.4789641,-0.02604425
Littlenansbar,"b""Guess who's Backkkkkkk?! Granddaughter Shannon!!!!! \n.\n#deptford #littlenansbar #littlenansdeptford #littlenans? https://t.co/DfkG9R37o4""",51.47897746,-0.02617836
xtaldave,b'Current situation... @ kids love ink https://t.co/Voea4RAoae',51.4789641,-0.02604425
AHOYofficial,b'?EXCITING NEWS?\n\nThis autumn will see the introduction of #RYA Powerability to our weekly sailability sessions. \n.? https://t.co/V7RR4a7hrK',51.4844602,-0.02247237
camspencedrums,b'I had so much fun at the progmetalmadness show with ravenface_official!! It was great to watch all the bands - HUGE? https://t.co/OVx0Kz28CS',51.47579741,-0.03713696
jezebeljayne,b'#fridakhalo ? @ Dog &amp; Bell SE8 https://t.co/AVUInyrjPR',51.48329889,-0.02572395
weasellulu,"b""Watson bar #wednesday. 'Cos plan B for bench is always triceps....\n\n#squatbenchdeadlift #benchpress #powerlifter? https://t.co/OgQdCdHk1T""",51.4785829,-0.0247553
BarkNoise,"b'This Thursday will be something great. Evening off or the flight of freedom, come by! With rebeckareinhard, Hazing,? https://t.co/zH16k0zjV0'",51.4757216,-0.0324715
ArtofEmaan,b'Designed in SketchUp and 3D Printed in Gold Plated Steel. Inspired by Modern Sculpture and the Treble Cleff musical? https://t.co/5M9lqry7AY',51.48251,-0.03215
ArtofEmaan,b'Designed in SketchUp and 3D Printed in Gold Plated Steel. Inspired by Modern Sculpture and the Treble Cleff musical? https://t.co/jmKRrmBbPT',51.48251,-0.03215
ArtofEmaan,b'Inspired by Modern Sculpture and the Treble Cleff musical note. A bold statement pendant that will complete your lo? https://t.co/9zJW1GUARa',51.48251,-0.03215
ArtofEmaan,b'Inspired by Modern Sculpture and the Treble Cleff musical note. A bold statement pendant that will complete your lo? https://t.co/3e8dugei0t',51.48251,-0.03215
ArtofEmaan,b'Inspired by Modern Sculpture and the Treble Cleff musical note. A bold statement pendant that will complete your lo? https://t.co/4sd3JmNDNB',51.48251,-0.03215
ArtofEmaan,b'Inspired by Modern Sculpture and the Treble Cleff musical note. A bold statement pendant that will complete your lo? https://t.co/URTe6AcVTl',51.48251,-0.03215
Littlenansbar,b'We had guests come visit us in Deptford from Texas today! Power to the Slushy! \n. \n#deptford #littlenansbar #Texas? https://t.co/fHBg5Gxj8h',51.47897746,-0.02617836
ArtofEmaan,b'This sculpture was modelled in Google Sketch Up and was inspired by Islamic Calligraphy. The idea was born out of t? https://t.co/YerYsRcyc3',51.48251,-0.03215
ArtofEmaan,b'This sculpture was modelled in Google Sketch Up and was inspired by Islamic Calligraphy. The idea was born out of t? https://t.co/Ez25wo3zJz',51.48251,-0.03215
ArtofEmaan,b'This sculpture was modelled in Google Sketch Up and was inspired by Islamic Calligraphy. The idea was born out of t? https://t.co/trp9lFDj6K',51.48251,-0.03215
ArtofEmaan,b'This sculpture was modelled in Google Sketch Up and was inspired by Islamic Calligraphy. The idea was born out of t? https://t.co/6UXgeL4Si3',51.48251,-0.03215
ArtofEmaan,b'This sculpture was modelled in Google Sketch Up and was inspired by Islamic Calligraphy. The idea was born out of t? https://t.co/r26bGpGxOq',51.48251,-0.03215
ArtofEmaan,b'This sculpture was modelled in Google Sketch Up and was inspired by Islamic Calligraphy. The idea was born out of t? https://t.co/YOPJv7xWvp',51.48251,-0.03215
Littlenansbar,b'Costa Del Deptford vibes happening right now! We Open till 11pm ??\n. \n#deptford #littlenansbar #home? https://t.co/fJlBeDGPNf',51.47813,-0.02608
AHOYofficial,b'??Our school programme provides a fantastic opportunity for students to take their education outside the classroom? https://t.co/Tev17jITyA',51.4844602,-0.02247237
winandruby,b'Tuesday hues. Getting inspired for the season ahead. The comfort and nurture that these colours evoke is definitely? https://t.co/qZcCuFpNJ7',51.47813,-0.02608
